Week,Year,GID,Name1,Name2,Pos,Team,h.a,Oppt,DK.points,DK.salary
1,2015,1207,Palmer, Carson,QB,ari,h,nor,28.68,6500
1,2015,1131,Brady, Tom,QB,nwe,h,pit,27.62,7700
1,2015,1233,Romo, Tony,QB,dal,h,nyg,27.14,7300
1,2015,1466,Mariota, Marcus,QB,ten,a,tam,24.96,6000
1,2015,1231,Rivers, Philip,QB,sdg,h,det,24.96,7100
1,2015,1254,Smith, Alex,QB,kan,a,hou,23.22,6200
1,2015,1252,Rodgers, Aaron,QB,gnb,a,chi,23.06,8600
1,2015,1232,Roethlisberger, Ben,QB,pit,a,nwe,22.04,7300
1,2015,1413,Foles, Nick,QB,stl,h,sea,20.98,5300
1,2015,1151,Brees, Drew,QB,nor,a,ari,20.5,8000
1,2015,1409,Luck, Andrew,QB,ind,a,buf,19.72,8300
1,2015,1403,Dalton, Andy,QB,cin,a,oak,18.86,6100
1,2015,1301,Ryan, Matt,QB,atl,h,phi,18.62,7500
1,2015,1344,Bradford, Sam,QB,phi,a,atl,18.44,6900
1,2015,1465,Winston, Jameis,QB,tam,h,ten,16.2,6000
1,2015,1412,Wilson, Russell,QB,sea,a,stl,16.14,7800
1,2015,1400,Taylor, Tyrod,QB,buf,h,ind,15.9,5000
1,2015,1340,Stafford, Matthew,QB,det,a,sdg,15.74,7000
1,2015,1263,Cutler, Jay,QB,chi,h,gnb,15.1,6800
1,2015,1242,Fitzpatrick, Ryan,QB,nyj,h,cle,14.06,5500
1,2015,1378,Newton, Cam,QB,car,a,jac,13.5,7600
1,2015,1410,Tannehill, Ryan,QB,mia,a,was,12.74,7400
1,2015,1442,Bortles, Blake,QB,jac,h,car,11.92,5900
1,2015,1438,Manziel, Johnny,QB,cle,a,nyj,11.78,5000
1,2015,1437,McGloin, Matt,QB,oak,h,cin,11.68,5000
1,2015,1336,Hoyer, Brian,QB,hou,h,kan,11.44,5100
1,2015,1404,Kaepernick, Colin,QB,sfo,h,min,10.7,7000
1,2015,1401,Mallett, Ryan,QB,hou,h,kan,10.52,5100
1,2015,1439,Bridgewater, Teddy,QB,min,a,sfo,9.84,6600
1,2015,1415,Cousins, Kirk,QB,was,h,mia,9.74,5000
1,2015,1225,Manning, Eli,QB,nyg,a,dal,8.52,7400
1,2015,1081,Manning, Peyton,QB,den,h,bal,5.9,8200
1,2015,1175,McCown, Josh,QB,cle,a,nyj,3.26,5200
